ZCZC HFOPWSCP2 ALL                                                  
TTAA00 PHFO DDHHMM                                                  
                                                                    
TROPICAL STORM LALA WIND SPEED PROBABILITIES NUMBER   6             
NWS CENTRAL PACIFIC HURRICANE CENTER HONOLULU HI   CP012026         
ISSUED BY NWS NATIONAL HURRICANE CENTER MIAMI FL                    
2100 UTC THU AUG 13 2026                                            
                                                                    
AT 2100Z THE CENTER OF TROPICAL STORM LALA WAS LOCATED NEAR LATITUDE
15.4 NORTH...LONGITUDE 146.2 WEST WITH MAXIMUM SUSTAINED WINDS NEAR 
40 KTS...45 MPH...75 KM/H.                                          
                                                                    
Z INDICATES COORDINATED UNIVERSAL TIME (GREENWICH)                  
   PACIFIC  DAYLIGHT TIME (PDT)...SUBTRACT 7 HOURS FROM Z TIME      
   HAWAIIAN STANDARD TIME (HST)...SUBTRACT 10 HOURS FROM Z TIME     
                                                                    
WIND SPEED PROBABILITY TABLE FOR SPECIFIC LOCATIONS                 
                                                                    
CHANCES OF SUSTAINED (1-MINUTE AVERAGE) WIND SPEEDS OF AT LEAST     
   ...34 KT (39 MPH... 63 KM/H)...                                  
   ...50 KT (58 MPH... 93 KM/H)...                                  
   ...64 KT (74 MPH...119 KM/H)...                                  
FOR LOCATIONS AND TIME PERIODS DURING THE NEXT 5 DAYS               
                                                                    
PROBABILITIES FOR LOCATIONS ARE GIVEN AS OP(CP) WHERE               
    OP  IS THE PROBABILITY OF THE EVENT BEGINNING DURING            
        AN INDIVIDUAL TIME PERIOD (ONSET PROBABILITY)               
   (CP) IS THE PROBABILITY OF THE EVENT OCCURRING BETWEEN           
        18Z THU AND THE FORECAST HOUR (CUMULATIVE PROBABILITY)      
                                                                    
PROBABILITIES ARE GIVEN IN PERCENT                                  
X INDICATES PROBABILITIES LESS THAN 1 PERCENT                       
PROBABILITIES FOR 34 KT AND 50 KT ARE SHOWN AT A GIVEN LOCATION WHEN
THE 5-DAY CUMULATIVE PROBABILITY IS AT LEAST 3 PERCENT.             
PROBABILITIES FOR 34...50...64 KT SHOWN WHEN THE 5-DAY              
64-KT CUMULATIVE PROBABILITY IS AT LEAST 1 PERCENT.                 
                                                                    
                                                                    
  - - - - WIND SPEED PROBABILITIES FOR SELECTED LOCATIONS - - - -   
                                                                    
               FROM    FROM    FROM    FROM    FROM    FROM    FROM 
  TIME       18Z THU 06Z FRI 18Z FRI 06Z SAT 18Z SAT 18Z SUN 18Z MON
PERIODS         TO      TO      TO      TO      TO      TO      TO  
             06Z FRI 18Z FRI 06Z SAT 18Z SAT 18Z SUN 18Z MON 18Z TUE
                                                                    
FORECAST HOUR    (12)   (24)    (36)    (48)    (72)    (96)   (120)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
LOCATION       KT                                                   
                                                                    
15N 145W       34 72   X(72)   X(72)   X(72)   X(72)   X(72)   X(72)
 
15N 150W       34  X   5( 5)   1( 6)   X( 6)   X( 6)   X( 6)   X( 6)
 
20N 151W       34  X   1( 1)   3( 4)   X( 4)   X( 4)   X( 4)   X( 4)
 
BUOY 51004     34  X   6( 6)  68(74)   6(80)   X(80)   X(80)   X(80)
BUOY 51004     50  X   X( X)  32(32)   7(39)   X(39)   X(39)   X(39)
BUOY 51004     64  X   X( X)   8( 8)   4(12)   X(12)   X(12)   X(12)
 
20N 154W       34  X   X( X)   2( 2)  16(18)   3(21)   X(21)   X(21)
 
HILO           34  X   X( X)   X( X)  29(29)  17(46)   X(46)   X(46)
HILO           50  X   X( X)   X( X)   3( 3)   4( 7)   X( 7)   X( 7)
HILO           64  X   X( X)   X( X)   X( X)   1( 1)   X( 1)   X( 1)
 
BRADSHAW AAF   34  X   X( X)   X( X)  11(11)  19(30)   1(31)   X(31)
 
18N 156W       34  X   X( X)   X( X)  25(25)  23(48)   X(48)   X(48)
18N 156W       50  X   X( X)   X( X)   5( 5)  14(19)   X(19)   X(19)
18N 156W       64  X   X( X)   X( X)   2( 2)   5( 7)   X( 7)   X( 7)
 
SOUTH POINT    34  X   X( X)   X( X)  41(41)  32(73)   X(73)   X(73)
SOUTH POINT    50  X   X( X)   X( X)  10(10)  21(31)   1(32)   X(32)
SOUTH POINT    64  X   X( X)   X( X)   2( 2)   8(10)   X(10)   X(10)
 
21N 156W       34  X   X( X)   X( X)   2( 2)   8(10)   X(10)   X(10)
 
KAILUA-KONA    34  X   X( X)   X( X)  16(16)  41(57)   X(57)   X(57)
KAILUA-KONA    50  X   X( X)   X( X)   1( 1)  12(13)   X(13)   X(13)
KAILUA-KONA    64  X   X( X)   X( X)   X( X)   2( 2)   X( 2)   X( 2)
 
KAHULUI        34  X   X( X)   X( X)   2( 2)  15(17)   X(17)   X(17)
 
21N 158W       34  X   X( X)   X( X)   X( X)  26(26)   1(27)   X(27)
21N 158W       50  X   X( X)   X( X)   X( X)   4( 4)   X( 4)   X( 4)
 
BARKING SANDS  34  X   X( X)   X( X)   X( X)   7( 7)   4(11)   X(11)
 
HANA           34  X   X( X)   X( X)   X( X)  40(40)   8(48)   X(48)
HANA           50  X   X( X)   X( X)   X( X)   9( 9)   4(13)   X(13)
HANA           64  X   X( X)   X( X)   X( X)   2( 2)   1( 3)   X( 3)
 
LANAI CITY     34  X   X( X)   X( X)   1( 1)  23(24)   X(24)   X(24)
LANAI CITY     50  X   X( X)   X( X)   X( X)   3( 3)   X( 3)   X( 3)
 
KAUNAKAKAI     34  X   X( X)   X( X)   1( 1)  13(14)   X(14)   X(14)
 
BUOY 51002     34  X   X( X)   X( X)   1( 1)   5( 6)   X( 6)   X( 6)
 
HONOLULU       34  X   X( X)   X( X)   X( X)  16(16)   1(17)   X(17)
 
JOINT BASE PHH 34  X   X( X)   X( X)   X( X)  16(16)   X(16)   X(16)
 
LIHUE          34  X   X( X)   X( X)   X( X)   9( 9)   2(11)   X(11)
 
20N 160W       34  X   X( X)   X( X)   X( X)  52(52)   6(58)   X(58)
20N 160W       50  X   X( X)   X( X)   X( X)  16(16)   5(21)   X(21)
20N 160W       64  X   X( X)   X( X)   X( X)   5( 5)   2( 7)   X( 7)
 
NIIHAU         34  X   X( X)   X( X)   X( X)  10(10)   7(17)   X(17)
 
21N 160W       34  X   X( X)   X( X)   X( X)  35(35)   8(43)   X(43)
21N 160W       50  X   X( X)   X( X)   X( X)   6( 6)   3( 9)   X( 9)
21N 160W       64  X   X( X)   X( X)   X( X)   1( 1)   1( 2)   X( 2)
 
BUOY 51003     34  X   X( X)   X( X)   X( X)  20(20)   8(28)   1(29)
BUOY 51003     50  X   X( X)   X( X)   X( X)   3( 3)   4( 7)   X( 7)
BUOY 51003     64  X   X( X)   X( X)   X( X)   1( 1)   1( 2)   X( 2)
 
NIHOA          34  X   X( X)   X( X)   X( X)   1( 1)   6( 7)   X( 7)
 
22N 164W       34  X   X( X)   X( X)   X( X)   1( 1)  39(40)   2(42)
22N 164W       50  X   X( X)   X( X)   X( X)   X( X)  10(10)   2(12)
22N 164W       64  X   X( X)   X( X)   X( X)   X( X)   3( 3)   X( 3)
 
NECKER         34  X   X( X)   X( X)   X( X)   X( X)  10(10)   4(14)
 
20N 165W       34  X   X( X)   X( X)   X( X)   X( X)  22(22)   5(27)
20N 165W       50  X   X( X)   X( X)   X( X)   X( X)   6( 6)   2( 8)
20N 165W       64  X   X( X)   X( X)   X( X)   X( X)   2( 2)   X( 2)
 
25N 165W       34  X   X( X)   X( X)   X( X)   X( X)   1( 1)   3( 4)
 
FR FRIG SHOALS 34  X   X( X)   X( X)   X( X)   X( X)   8( 8)  11(19)
FR FRIG SHOALS 50  X   X( X)   X( X)   X( X)   X( X)   1( 1)   3( 4)
 
GARDNER PINN   34  X   X( X)   X( X)   X( X)   X( X)   1( 1)  10(11)
 
20N 170W       34  X   X( X)   X( X)   X( X)   X( X)   1( 1)  10(11)
 
25N 170W       34  X   X( X)   X( X)   X( X)   X( X)   X( X)  16(16)
25N 170W       50  X   X( X)   X( X)   X( X)   X( X)   X( X)   3( 3)
 
MARO REEF      34  X   X( X)   X( X)   X( X)   X( X)   X( X)  11(11)
 
25N 175W       34  X   X( X)   X( X)   X( X)   X( X)   X( X)   3( 3)
 
LAYSAN         34  X   X( X)   X( X)   X( X)   X( X)   X( X)   7( 7)
 
LISIANSKI      34  X   X( X)   X( X)   X( X)   X( X)   X( X)   3( 3)
 
$$                                                                  
FORECASTER CANGIALOSI                                               
NNNN                                                                
