ZCZC HFOPWSCP2 ALL                                                  
TTAA00 PHFO DDHHMM                                                  
                                                                    
TROPICAL STORM LALA WIND SPEED PROBABILITIES NUMBER   9             
NWS CENTRAL PACIFIC HURRICANE CENTER HONOLULU HI   CP012026         
ISSUED BY NWS NATIONAL HURRICANE CENTER MIAMI FL                    
1500 UTC FRI AUG 14 2026                                            
                                                                    
AT 1500Z THE CENTER OF TROPICAL STORM LALA WAS LOCATED NEAR LATITUDE
16.7 NORTH...LONGITUDE 149.5 WEST WITH MAXIMUM SUSTAINED WINDS NEAR 
50 KTS...60 MPH...95 KM/H.                                          
                                                                    
Z INDICATES COORDINATED UNIVERSAL TIME (GREENWICH)                  
   PACIFIC  DAYLIGHT TIME (PDT)...SUBTRACT 7 HOURS FROM Z TIME      
   HAWAIIAN STANDARD TIME (HST)...SUBTRACT 10 HOURS FROM Z TIME     
                                                                    
WIND SPEED PROBABILITY TABLE FOR SPECIFIC LOCATIONS                 
                                                                    
CHANCES OF SUSTAINED (1-MINUTE AVERAGE) WIND SPEEDS OF AT LEAST     
   ...34 KT (39 MPH... 63 KM/H)...                                  
   ...50 KT (58 MPH... 93 KM/H)...                                  
   ...64 KT (74 MPH...119 KM/H)...                                  
FOR LOCATIONS AND TIME PERIODS DURING THE NEXT 5 DAYS               
                                                                    
PROBABILITIES FOR LOCATIONS ARE GIVEN AS OP(CP) WHERE               
    OP  IS THE PROBABILITY OF THE EVENT BEGINNING DURING            
        AN INDIVIDUAL TIME PERIOD (ONSET PROBABILITY)               
   (CP) IS THE PROBABILITY OF THE EVENT OCCURRING BETWEEN           
        12Z FRI AND THE FORECAST HOUR (CUMULATIVE PROBABILITY)      
                                                                    
PROBABILITIES ARE GIVEN IN PERCENT                                  
X INDICATES PROBABILITIES LESS THAN 1 PERCENT                       
PROBABILITIES FOR 34 KT AND 50 KT ARE SHOWN AT A GIVEN LOCATION WHEN
THE 5-DAY CUMULATIVE PROBABILITY IS AT LEAST 3 PERCENT.             
PROBABILITIES FOR 34...50...64 KT SHOWN WHEN THE 5-DAY              
64-KT CUMULATIVE PROBABILITY IS AT LEAST 1 PERCENT.                 
                                                                    
                                                                    
  - - - - WIND SPEED PROBABILITIES FOR SELECTED LOCATIONS - - - -   
                                                                    
               FROM    FROM    FROM    FROM    FROM    FROM    FROM 
  TIME       12Z FRI 00Z SAT 12Z SAT 00Z SUN 12Z SUN 12Z MON 12Z TUE
PERIODS         TO      TO      TO      TO      TO      TO      TO  
             00Z SAT 12Z SAT 00Z SUN 12Z SUN 12Z MON 12Z TUE 12Z WED
                                                                    
FORECAST HOUR    (12)   (24)    (36)    (48)    (72)    (96)   (120)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
LOCATION       KT                                                   
                                                                    
20N 150W       34  4   3( 7)   X( 7)   X( 7)   X( 7)   X( 7)   X( 7)
 
20N 151W       34  6  14(20)   X(20)   X(20)   X(20)   X(20)   X(20)
 
BUOY 51004     34 53  36(89)   X(89)   X(89)   X(89)   X(89)   X(89)
BUOY 51004     50  X  61(61)   X(61)   X(61)   X(61)   X(61)   X(61)
BUOY 51004     64  X  20(20)   X(20)   X(20)   X(20)   X(20)   X(20)
 
20N 154W       34  1  38(39)  24(63)   X(63)   X(63)   X(63)   X(63)
20N 154W       50  X   X( X)   9( 9)   1(10)   X(10)   X(10)   X(10)
 
HILO           34  X  22(22)  51(73)   5(78)   X(78)   X(78)   X(78)
HILO           50  X   X( X)  20(20)  10(30)   X(30)   X(30)   X(30)
HILO           64  X   X( X)   4( 4)   1( 5)   X( 5)   X( 5)   X( 5)
 
BRADSHAW AAF   34  X   1( 1)  50(51)  16(67)   X(67)   X(67)   X(67)
BRADSHAW AAF   50  X   X( X)   4( 4)   7(11)   1(12)   X(12)   X(12)
 
18N 156W       34  X   5( 5)  21(26)   6(32)   1(33)   X(33)   X(33)
18N 156W       50  X   X( X)   5( 5)   5(10)   X(10)   X(10)   X(10)
18N 156W       64  X   X( X)   2( 2)   1( 3)   X( 3)   X( 3)   X( 3)
 
SOUTH POINT    34  X  12(12)  52(64)   8(72)   X(72)   X(72)   X(72)
SOUTH POINT    50  X   X( X)  23(23)  19(42)   X(42)   X(42)   X(42)
SOUTH POINT    64  X   X( X)   6( 6)   7(13)   X(13)   X(13)   X(13)
 
21N 156W       34  X   2( 2)  15(17)  17(34)   X(34)   X(34)   X(34)
21N 156W       50  X   X( X)   X( X)   3( 3)   X( 3)   X( 3)   X( 3)
 
KAILUA-KONA    34  X   4( 4)  47(51)  25(76)   1(77)   X(77)   X(77)
KAILUA-KONA    50  X   X( X)   6( 6)  25(31)   X(31)   X(31)   X(31)
KAILUA-KONA    64  X   X( X)   1( 1)   5( 6)   X( 6)   X( 6)   X( 6)
 
KAHULUI        34  X   2( 2)  13(15)  27(42)   X(42)   X(42)   X(42)
KAHULUI        50  X   X( X)   X( X)   5( 5)   1( 6)   X( 6)   X( 6)
 
21N 158W       34  X   X( X)   3( 3)  40(43)  10(53)   X(53)   X(53)
21N 158W       50  X   X( X)   X( X)   8( 8)   4(12)   X(12)   X(12)
21N 158W       64  X   X( X)   X( X)   1( 1)   1( 2)   X( 2)   X( 2)
 
BARKING SANDS  34  X   X( X)   X( X)   7( 7)  19(26)   1(27)   X(27)
BARKING SANDS  50  X   X( X)   X( X)   X( X)   3( 3)   X( 3)   X( 3)
 
HANA           34  X   X( X)   X( X)  15(15)  48(63)   X(63)   X(63)
HANA           50  X   X( X)   X( X)   1( 1)  23(24)   X(24)   X(24)
HANA           64  X   X( X)   X( X)   X( X)   6( 6)   X( 6)   X( 6)
 
LANAI CITY     34  X   1( 1)  11(12)  37(49)   1(50)   X(50)   X(50)
