ZCZC HFOPWSCP2 ALL                                                  
TTAA00 PHFO DDHHMM                                                  
                                                                    
TROPICAL STORM LALA WIND SPEED PROBABILITIES NUMBER  10             
NWS CENTRAL PACIFIC HURRICANE CENTER HONOLULU HI   CP012026         
ISSUED BY NWS NATIONAL HURRICANE CENTER MIAMI FL                    
2100 UTC FRI AUG 14 2026                                            
                                                                    
AT 2100Z THE CENTER OF TROPICAL STORM LALA WAS LOCATED NEAR LATITUDE
17.2 NORTH...LONGITUDE 150.9 WEST WITH MAXIMUM SUSTAINED WINDS NEAR 
50 KTS...60 MPH...95 KM/H.                                          
                                                                    
Z INDICATES COORDINATED UNIVERSAL TIME (GREENWICH)                  
   PACIFIC  DAYLIGHT TIME (PDT)...SUBTRACT 7 HOURS FROM Z TIME      
   HAWAIIAN STANDARD TIME (HST)...SUBTRACT 10 HOURS FROM Z TIME     
                                                                    
WIND SPEED PROBABILITY TABLE FOR SPECIFIC LOCATIONS                 
                                                                    
CHANCES OF SUSTAINED (1-MINUTE AVERAGE) WIND SPEEDS OF AT LEAST     
   ...34 KT (39 MPH... 63 KM/H)...                                  
   ...50 KT (58 MPH... 93 KM/H)...                                  
   ...64 KT (74 MPH...119 KM/H)...                                  
FOR LOCATIONS AND TIME PERIODS DURING THE NEXT 5 DAYS               
                                                                    
PROBABILITIES FOR LOCATIONS ARE GIVEN AS OP(CP) WHERE               
    OP  IS THE PROBABILITY OF THE EVENT BEGINNING DURING            
        AN INDIVIDUAL TIME PERIOD (ONSET PROBABILITY)               
   (CP) IS THE PROBABILITY OF THE EVENT OCCURRING BETWEEN           
        18Z FRI AND THE FORECAST HOUR (CUMULATIVE PROBABILITY)      
                                                                    
PROBABILITIES ARE GIVEN IN PERCENT                                  
X INDICATES PROBABILITIES LESS THAN 1 PERCENT                       
PROBABILITIES FOR 34 KT AND 50 KT ARE SHOWN AT A GIVEN LOCATION WHEN
THE 5-DAY CUMULATIVE PROBABILITY IS AT LEAST 3 PERCENT.             
PROBABILITIES FOR 34...50...64 KT SHOWN WHEN THE 5-DAY              
64-KT CUMULATIVE PROBABILITY IS AT LEAST 1 PERCENT.                 
                                                                    
                                                                    
  - - - - WIND SPEED PROBABILITIES FOR SELECTED LOCATIONS - - - -   
                                                                    
               FROM    FROM    FROM    FROM    FROM    FROM    FROM 
  TIME       18Z FRI 06Z SAT 18Z SAT 06Z SUN 18Z SUN 18Z MON 18Z TUE
PERIODS         TO      TO      TO      TO      TO      TO      TO  
             06Z SAT 18Z SAT 06Z SUN 18Z SUN 18Z MON 18Z TUE 18Z WED
                                                                    
FORECAST HOUR    (12)   (24)    (36)    (48)    (72)    (96)   (120)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
LOCATION       KT                                                   
                                                                    
20N 150W       34  3   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
20N 151W       34 16   1(17)   X(17)   X(17)   X(17)   X(17)   X(17)
 
BUOY 51004     34 87   1(88)   X(88)   X(88)   X(88)   X(88)   X(88)
BUOY 51004     50 34   9(43)   X(43)   X(43)   X(43)   X(43)   X(43)
BUOY 51004     64  5   2( 7)   X( 7)   X( 7)   X( 7)   X( 7)   X( 7)
 
20N 154W       34  8  61(69)   2(71)   X(71)   X(71)   X(71)   X(71)
20N 154W       50  X   5( 5)   4( 9)   X( 9)   X( 9)   X( 9)   X( 9)
 
HILO           34  1  72(73)  15(88)   X(88)   X(88)   X(88)   X(88)
HILO           50  X   7( 7)  32(39)   X(39)   X(39)   X(39)   X(39)
HILO           64  X   X( X)   5( 5)   X( 5)   X( 5)   X( 5)   X( 5)
 
BRADSHAW AAF   34  X  43(43)  38(81)   X(81)   X(81)   X(81)   X(81)
BRADSHAW AAF   50  X   X( X)  13(13)   X(13)   X(13)   X(13)   X(13)
 
18N 156W       34  X  26(26)   8(34)   X(34)   X(34)   X(34)   X(34)
18N 156W       50  X   1( 1)   8( 9)   X( 9)   X( 9)   X( 9)   X( 9)
18N 156W       64  X   X( X)   2( 2)   X( 2)   X( 2)   X( 2)   X( 2)
 
SOUTH POINT    34  1  62(63)  18(81)   1(82)   X(82)   X(82)   X(82)
SOUTH POINT    50  X   6( 6)  43(49)   1(50)   X(50)   X(50)   X(50)
SOUTH POINT    64  X   1( 1)  14(15)   X(15)   X(15)   X(15)   X(15)
 
21N 156W       34  X  10(10)  32(42)   2(44)   1(45)   X(45)   X(45)
21N 156W       50  X   X( X)   4( 4)   1( 5)   X( 5)   X( 5)   X( 5)
 
KAILUA-KONA    34  X  40(40)  42(82)   1(83)   X(83)   X(83)   X(83)
KAILUA-KONA    50  X   X( X)  33(33)   3(36)   X(36)   X(36)   X(36)
KAILUA-KONA    64  X   X( X)   6( 6)   1( 7)   X( 7)   X( 7)   X( 7)
 
KAHULUI        34  X   8( 8)  38(46)   6(52)   X(52)   X(52)   X(52)
KAHULUI        50  X   X( X)   6( 6)   4(10)   X(10)   X(10)   X(10)
KAHULUI        64  X   X( X)   1( 1)   X( 1)   X( 1)   X( 1)   X( 1)
 
21N 158W       34  X   1( 1)  21(22)  31(53)   1(54)   X(54)   X(54)
21N 158W       50  X   X( X)   1( 1)  13(14)   1(15)   X(15)   X(15)
21N 158W       64  X   X( X)   X( X)   2( 2)   X( 2)   X( 2)   X( 2)
 
BARKING SANDS  34  X   X( X)   1( 1)  20(21)   6(27)   X(27)   X(27)
BARKING SANDS  50  X   X( X)   X( X)   1( 1)   2( 3)   X( 3)   X( 3)
 
HANA           34  X   X( X)   2( 2)  40(42)  12(54)   X(54)   X(54)
HANA           50  X   X( X)   X( X)  10(10)   9(19)   X(19)   X(19)
HANA           64  X   X( X)   X( X)   2( 2)   3( 5)   X( 5)   X( 5)
 
