CP, 01, 2026080912, 01, CARQ, -24,  99N, 1374W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026080912, 01, CARQ, -18,  99N, 1382W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026080912, 01, CARQ, -12, 100N, 1390W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 274,   8,     INVEST,  , 
CP, 01, 2026080912, 01, CARQ,  -6, 100N, 1398W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026080912, 01, CARQ,   0, 101N, 1406W,  20, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1010,  180,   0,   0,   0,   C,   0,   X, 275,   8,     INVEST, S, 
CP, 01, 2026080912, 01, CARQ,   0, 101N, 1406W,  20, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1010,  180,   0,   0,   0,   C,   0,   X, 275,   8,     INVEST, S, 
CP, 01, 2026080912, 01, CARQ,   0, 101N, 1406W,  20, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1010,  180,   0,   0,   0,   C,   0,   X, 275,   8,     INVEST, S, 
CP, 01, 2026080918, 01, CARQ, -24, 100N, 1389W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026080918, 01, CARQ, -18, 100N, 1396W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026080918, 01, CARQ, -12, 100N, 1402W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST,  , 
CP, 01, 2026080918, 01, CARQ,  -6, 101N, 1408W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026080918, 01, CARQ,   0, 101N, 1415W,  20, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  180,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST, S, 
CP, 01, 2026080918, 01, CARQ,   0, 101N, 1415W,  20, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  180,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST, S, 
CP, 01, 2026080918, 01, CARQ,   0, 101N, 1415W,  20, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  180,   0,   0,   0,   C,   0,   X, 275,   6,     INVEST, S, 
CP, 01, 2026081000, 01, CARQ, -24, 100N, 1396W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081000, 01, CARQ, -18, 100N, 1402W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081000, 01, CARQ, -12, 101N, 1407W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 276,   5,     INVEST,  , 
CP, 01, 2026081000, 01, CARQ,  -6, 101N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081000, 01, CARQ,   0, 105N, 1412W,  20, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X, 320,   3,     INVEST, S, 
CP, 01, 2026081000, 01, CARQ,   0, 105N, 1412W,  20, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X, 320,   3,     INVEST, S, 
CP, 01, 2026081000, 01, CARQ,   0, 105N, 1412W,  20, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X, 320,   3,     INVEST, S, 
CP, 01, 2026081006, 01, CARQ, -24, 100N, 1402W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081006, 01, CARQ, -18, 101N, 1407W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081006, 01, CARQ, -12, 101N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 309,   3,     INVEST,  , 
CP, 01, 2026081006, 01, CARQ,  -6, 105N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081006, 01, CARQ,   0, 106N, 1412W,  20, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   1,     INVEST, S, 
CP, 01, 2026081006, 01, CARQ,   0, 106N, 1412W,  20, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   1,     INVEST, S, 
CP, 01, 2026081006, 01, CARQ,   0, 106N, 1412W,  20, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   1,     INVEST, S, 
CP, 01, 2026081012, 01, CARQ, -24, 101N, 1407W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081012, 01, CARQ, -18, 101N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081012, 01, CARQ, -12, 105N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 360,   3,     INVEST,  , 
CP, 01, 2026081012, 01, CARQ,  -6, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081012, 01, CARQ,   0, 106N, 1412W,  20, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081012, 01, CARQ,   0, 106N, 1412W,  20, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081012, 01, CARQ,   0, 106N, 1412W,  20, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081018, 01, CARQ, -24, 101N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ, -18, 105N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ, -12, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 360,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ,  -6, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ,   0, 105N, 1410W,  20, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
