EP, 12, 2026082618, 01, CARQ, -24, 101N, 1367W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 12, 2026082618, 01, CARQ, -18, 102N, 1364W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 12, 2026082618, 01, CARQ, -12, 103N, 1360W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,  77,   5,     INVEST,  , 
EP, 12, 2026082618, 01, CARQ,  -6, 104N, 1355W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 12, 2026082618, 01, CARQ,   0, 105N, 1350W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1011,  120,  80,   0,   0,   E,   0,   X,  80,   5,     INVEST, S, 
EP, 12, 2026082618, 01, CARQ,   0, 105N, 1350W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1011,  120,  80,   0,   0,   E,   0,   X,  80,   5,     INVEST, S, 
EP, 12, 2026082618, 01, CARQ,   0, 105N, 1350W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1011,  120,  80,   0,   0,   E,   0,   X,  80,   5,     INVEST, S, 
EP, 12, 2026082618, 03, AC00,   0, 111N, 1338W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,   6, 111N, 1339W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  12, 113N, 1340W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  18, 111N, 1338W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  24, 110N, 1335W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  30, 112N, 1332W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  36, 111N, 1329W,  34, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  42, 115N, 1323W,  40,  998, XX,  34, NEQ,    0,  158,   37,    0, 
EP, 12, 2026082618, 03, AC00,  48, 119N, 1324W,  35, 1000, XX,  34, NEQ,   53,   36,    0,    0, 
EP, 12, 2026082618, 03, AC00,  54, 122N, 1325W,  33,  999, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  60, 123N, 1327W,  34, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026082618, 03, AC00,  66, 125N, 1332W,  36, 1001, XX,  34, NEQ,   45,   35,    0,    0, 
EP, 12, 2026082618, 03, AC00,  72, 129N, 1339W,  31, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
